id,title,author,cities
256,"From a Bench in Our Square","Samuel Hopkins Adams","21820,21726,21149,20357,20357"
257,"Lays of the Scottish Cavaliers and Other Poems","W.E. Aytoun","22674,22760"
258,"Three Frenchmen in Bengal","S.C. Hill","14614,14614,14614"
259,"The Best American Humorous Short Stories",Various,"21921,21921,21458,21969"
260,"The Light of Western Stars","Zane Grey","22367,22367,22367,22367,15879,15879,22720,22720,22746,22367,22367,22367,22367,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,22367,15879,15879,15879,22367,15879,15879,15879,15879,15879,15879,22367,22746,1601,22367,22367,22367,15879,15879,15879,22367,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,22367,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,1601,15879,15879,15879,15879,15879,22367,15879,15879,20357,15879,15879,15879,15879,15879,15879,15879,15879,15879,15879,22367,14534,15879,14534,15879,22367,22367,22367,22367,15879,15879,15879,15879,15879,22367,15879,15879,15879,15879,15879,22367,22367,22367,22367,14534,2870,22367,22746,22367,14534,22746,22746,15879,15879,15879,14534,22367,14534,22746,14534,15879,15879,15879,15879,22746,22746,22746,14534,14534,14534"
261,"The Mirror of Literature, Amusement, and Instruction",Various,20373
262,"A Compilation of the Messages and Papers of the Presidents, Volume","James D. Richardson","20410,20891,1601,22516,22516,20430,4045,22720,239,239,20430,20430,22720,22720,22720,22720,18527,236,236,236,236,236,18527,18527,236,236,236,236,236,22720,22720,22720,20430,1601,1601,22720,22720,1601,1601,1601,1601,20430,20430,20430,18527,20430,20097,1601,239,239,20430,20430,236,1601,1405,236,236,20430,169,18527,1601,1601,1601,1601,1601"
263,"Punch, or the London Charivari, Vol. 156, Jan. 15, 1919",Various,"20078,18445,5852,22888"
264,"The Love Affairs of Great Musicians, Volume 1","Rupert Hughes",15135
265,"An Unwilling Maid","Jeanie Gould Lincoln","20373,21149,21149,21150,21993,21149,21993,21993,21993,21969,21150,20373,20373"
266,"A Century of Negro Migration","Carter G. Woodson","20430,20430,20325,4079,20430,21921,21921,4079,21921,20430,21213,20357,20410,20430,20430,19989,2538,21921,20541,21149,21149,21519,2538"
267,"Mrs. Warren's Profession","George Bernard Shaw",2576
268,"With the 'Die-Hards' in Siberia","John Ward",23568
269,"The Late Mrs. Null","Frank Richard Stockton","2490,2490"
270,"A Ride to India across Persia and Baluchistan","Harry De Windt","5852,8334"
271,"Hidden Creek","Katharine Newlin Burt",239
272,"The Turmoil","Booth Tarkington","20681,20681,20430"
273,"Lady John Russell",Unknown,"2514,2523,11893,11895,11893,11893,11893,2514,2514,2514,2514,2514,11893,2514,2514,2514,239,2514,11893,2514,11893"
274,"Frederick Douglass","Charles Waddell Chesnutt","21921,21458,21458,21921,4079,21458,21458,21921,21458,21458,21458,21458,21458,21458,21458,20877,4079,152,4079,20877,20430,21921"
275,"The Devil's Admiral","Frederick Ferdinand Moore","20976,20976,20976,20976,239"
276,"The Riverman","Stewart Edward White","22975,20489"
277,"Selected Speeches on British Foreign Policy 1738-1914","when I see it plagiarized by those who condemn","4037,4037,4037,4037,4037,4037,4037"
278,"Dogs and All About Them","Robert Leighton","7569,2514,7518,7518,7518,7518"
279,"The World's Greatest Books, Volume V.","Arthur Mee and J.A. Hammerton, Eds.",22827
280,"Two Years Ago, Volume II.","Charles Kingsley",20430
281,"Whig Against Tory",Unknown,"21359,20772,21993,21993,21993,21993,21993"
282,"The World of Waters","Mrs. David Osborne","239,23613,7647,7647,22108,2493,2515,15664,23613,23613,14004,23613"
283,"Tess of the d'Urbervilles","Thomas Hardy","21572,21572"
284,"Michelangelo's Shoulder","John Moncure Wetterau",2576
285,"Joe Burke's Last Stand","John Moncure Wetterau","239,236,239,239,2576,21149,20158,20073,21149,2868,239,239,4037"
286,O+F,"John Moncure Wetterau","20681,21149,21149,21511,20681,21511,20681,20681,20681,20681,20681,21149,239,20681,20681,20681,23051,20789,20789,20789,20097"
287,"The Book With The Yellow Cover","John Moncure Wetterau","20133,20133"
288,"Antwerp to Gallipoli","Arthur Ruhl","191,474,191,20097,191"
289,"Labor's Martyrs","Vito Marcantonio",21921
290,"The Spectator, Volume 2.","Addison and Steele",7547
291,"The Autobiography of an Ex-Colored Man","James Weldon Johnson","21726,20097,21921,239"
292,"Letters of a Traveller","William Cullen Bryant","20321,15135,22840,20097,20321,22841,21149,20097,21958,2514,23004,2490,21121,22840,2870,2870,2870,2870,236,20097,20097,20097,20430,20430,20097,20097,22455,20097"
293,"The Port of Adventure","Charles Norris Williamson and Alice Muriel Williamson","20078,20078,239,239,239,22455,239,239,20430,20430,20430,20430,239,20430,20430,20430,20430,20430,20430,20430,20430,22455,22455,20430,20430,22455,20430,22455,22455,22455,22455,22455,239,22455,22455,22455,22455,5727,22455,22455,15516,15645,15516,22455,15516,239,1169,22455,239,15646,239,239,20430,15646,22521,22455,22521,22455,22521,15646,5727,239,15646,15646,5727,22521,239,4037,22521,15646,20045,15646,15646,4037,4037,22521,15646,15646,15646,22521,22521,4037,22521,15646,4037,239,22455,4037,239,4037,20078,239,20430,4037,239,22521,239,4037,4037,4037,22521,239,22521,239,239,239,239,239,239,239,15646,15646,15646,239,20430,239,239,239,239,239,239,239,239,239,239,239,239,239,15646,239,239,15646,22521,239,239,239,15646,239,239,15646,239,239,239,239,15646,239,239,239,239,239"
294,"Samuel F. B. Morse, His Letters and Journals","Samuel F. B. Morse","21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21969,21149,21921,21149,21150,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21921,20430,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,20267,21149,20000,11893,20000,20267,20267"
295,"Samuel F. B. Morse, His Letters and Journals","Samuel F. B. Morse","22975,20000,20000,20430,21754,20430,21149,21149,20430,239,21149,21149,21149,21149,21921,21149,21149,20000,21149,21149,21149,21149"
296,"Van Bibber and Others","Richard Harding Davis","21964,2490,239,21921"
297,"A Compilation of the Messages and Papers of the Presidents","James D. Richardson","20000,236,236,20430,169,239,15135,236,2876,20783,236,22888,239,20430,1405,169,169,21049,236,236,1601,1405,1601,1405,1405,1405,170,20097,20097,20097,20097,20097,236,15664,1405,236,169,20430,15664,22888,22888"
298,"Literary and General Lectures and Essays","Charles Kingsley",22674
299,"Philippine Folk-Tales","Clara Kern Bayliss, Berton L. Maxfield, W. H. Millington,","1169,4037,1169,5972"
300,"American Hero-Myths","Daniel G. Brinton","1601,1405,1405,1405,14393,19983,1637"
301,"King Richard III","William Shakespeare","2538,21651,21651,420,22760,22760,22760"
302,"Incidents in the Life of a Slave Girl","Harriet Jacobs (AKA Linda Brent)",20430
303,"A Compilation of the Messages and Papers of the Presidents","James D. Richardson","21921,20000,20000,21740,21740,21740,21740,21740,21740,21740,21049,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,2490,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,20000,21740,20000,21740,21740,21740,21740,21740,21740,21740,21740,20000,21740,21740,20000,21740,21740,21740,21740,20000,21740,21740,21740,21740,20000,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,21740,22171,21740,21740,21740,21740,21740,21740,21740,21740,20430,21740,21740,21740,21740,21740,21740,22171,22171,21740,21740,21740,21740,21740,21740,21740,21740,21740,1405,21740,21740,21740,21740,21740,21740,21740,21740,21740,20430,21740"
304,"A Woman's Journey Round the World","Ida Pfeiffer","23613,23613,1169,1169,1169,2284,2284,1601,1601,1601,2514,2514,2514,9788,9788,9788,9788,9788,9788"
305,Midnight,"Octavus Roy Cohen",21726
306,"The Cruise of the Dazzler","Jack London","21921,21921,239,239,239,239,239,239,20078,22546,15656,239,239,22577,22546,15656,239,239,20078,20078,239,22610,239,1169"
307,"The Custom of the Country","Edith Wharton","15378,22151,20373,19989,19989,239"
308,"Minnie's Sacrifice","Frances Ellen Watkins Harper","20430,20430,20430,20430,20430,20430,20410,20430"
309,"Lord Dolphin","Harriet A. Cheever",21921
310,"Trial and Triumph","Frances Ellen Watkins Harper","20430,20430"
311,"The Wife of his Youth and Other Stories of the Color Line, and","Charles Waddell Chesnutt","20430,20430,2490,20430"
312,"Atlantic Monthly Volume 6, No. 34, August, 1860",Various,"21614,21614,21614,21614,21614,19983,21651,21651,12288,8325"
313,"The Dozen from Lakerim","Rupert Hughes",236
314,"A Man of Mark","Anthony Hope","14578,14578,19422,19422,19422,19422,14578,14578,14578,14578,14578,14578,14578"
315,"Reform Cookery Book (4th edition)","Mrs. Mill","2490,20792"
316,"Ebooks: Neither E, Nor Books","Cory Doctorow","4045,22546"
317,"Essays in Rebellion","Henry W. Nevinson","7969,7547,15135,15135,15135,15135,12299"
318,"Old Saint Paul's","William Harrison Ainsworth","21651,2538,21651,21651,21651,2538,21651,21651,21651,21651,21651,21651,21651,21651,22760,21651,21651,21651,21651,21651,21651,21651,21651,21651,21650,21651,21650,21651,21650,21651,21651,21651,21651,21651,2538,21651,21651,21650,21651,21651,21651,21651,21651,21651,21650,21651,21650,21650,21651,21651,21650,21651,21651,22760,21651,21651,21651,2538,21651,22760,21651,21651,21650,21651,21651"
319,"Atlantic Monthly, Volume 6, Issue 35, September, 1860",Various,"20534,20534,20947,21149,21149,21149,20430,20584,2538"
320,"Crabbe, (George)","Alfred Ainger","7680,7680"
321,"The Education Of The Negro Prior To 1861","Carter Godwin Woodson","20430,19983,21921,21921,20430,20430,21149,20430,4079,4079,21458,20430,21921,21149,21921,20430,20000,20342,20430,21921,21149,20000,21149,21149,21149,21149,21149,21921,21458,21458,21458,21921,20430,20430,21149,21149,21149,239,21921,21149,20430,15379,21149,21458,20342,21149,20430,21921,4079,21921,4079"
322,Poems,"John L. Stoddard","8334,11893"
323,"More Seeds of Knowledge; Or, Another Peep at Charles.","Julia Corner",15879
324,Freckles,"Gene Stratton-Porter","21538,21538,21538,21363,21538,21519,21538"
325,"History Of Modern Philosophy","Richard Falckenberg","15135,15135,15135,21149"
326,"History of Negro Soldiers in the Spanish-American War, and Other Items of Interest","Edward A. Johnson","20097,236,20430,236,236,236,236,236,236,236,236,236,236,236,236,236,1601,236,20430,20634,236,236,11891,223,15664,8334,236"
327,"Atlantic Monthly Volume 6, No. 37, November, 1860",Various,"238,2870,21458,21969,2514,21969,21149"
328,"The Girl at Cobhurst","Frank Richard Stockton",1295
329,"Punch, or the London Charivari, Vol. 156, Feb. 12, 1919",Various,"23650,2576"
330,"A Countess from Canada","Bessie Marchant","2561,2561"
331,"The Mirror of Literature, Amusement, and Instruction, No. 351",Various,2516
332,"Principal Cairns","John Cairns",22888
333,"Debate On Woman Suffrage In The Senate Of The United States,","Henry W. Blair, J.E. Brown, J.N. Dolph, G.G. Vest, Geo. F. Hoar.","21651,21150,21149,20430,21149,2943,21538"
334,"Frank Merriwell at Yale","Burt L. Standish","21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149,21149"
335,"The Wonderful Bed","Gertrude Knevels","22760,22760"
336,"Atlantic Monthly Volume 7, No. 40, February, 1861",Various,"21969,21458,22171,22171,22171,21458,20430,22171,22171,22171,20430,18445"
337,"Atlantic Monthly Volume 7, No. 39, January, 1861",Various,"239,21458"
338,"Personal Memoirs Of A Residence Of Thirty Years With The Indian Tribes On The American Frontiers","Henry Rowe Schoolcraft","20321,22171,20000,22171,20430,21969,3857,20541,20430,20430,20430,21969,21363,20917,22171,22171,2490,21149,19986,20321,21363,21672,21149,21149,20430,22171,21546,1405,22171,22171,20321,22171,22171,22171,22171,22171,22171,22171,22171,21246,22171,22171,22171,22171,21363,21246,21363,21558,22171,22171,22171,21149,22171,22171,21672,2490,22171,21546,22171,22171,22171,22171,22171,21324,22171,22171,22171,22171,20000,20000,20000,20000,20000,20430,22238,22171,22171,22171,2561,2561,22171,20430,22171,2561,22171,2561,2561,22171,22171,21672,22171,22171,20430,22171,22171,22171,21538,22171,21538,22171,21519,22171,22171,22171,21672,22108,1601,2561,20000,21190,22171,22171,20000,22171,21519,2561,22238,21149,22171,21519,8325"
339,"Hurrah for New England!","Louisa C. Tuthill","20321,21477"
340,"Choice Specimens of American Literature, And Literary Reader","Benj. N. Martin","20430,22746,8325,239,21149,20430,1601,8325,8325,22171,21921,239,239"
341,"Northumberland Yesterday and To-day","Jean F. Terry","7315,7315,19989,505,2515,2515,7508,7395,7395,20342,7395,7395,7508,7508,7315,20626,21081"
342,"A Compilation of the Messages and Papers of the Presidents","James D. Richardson","236,1601,21049,236,152,236,236,236,236,236,236,239,2876,236,2876,2876,239,2876,21740,239,1405,236,21740,21740,21740,239,236,20430,239,15135,15135,236,236,1405,236,1601,15135"
343,"The Case of Jennie Brice","Mary Roberts Rinehart","20430,21192,21192,21921"
344,"Punch, or the London Charivari, Vol. 156, Jan. 8, 1919",Various,5852
345,"Atlantic Monthly, Volume 7, Issue 41, March, 1861",Various,"21380,22171,20489,20430"
346,"Monarch, The Big Bear of Tallac","Ernest Thompson Seton","1601,20947,1571,20078,20078"
347,"Twenty-Two Years a Slave, and Forty Years a Freeman","Austin Steward","2490,21921,21921,21672,21921,20430,2870"
348,"Comic History of England","Bill Nye","21194,2515,2515"
349,"Somewhere in France","Richard Harding Davis","21857,21857,239,4079,4079,4079,4079,21921,21919"
350,"The Expedition of the Donner Party and its Tragic Fate","Eliza Poor Donner Houghton","22455,15664,239,22720,239,239,239,239,239,20430,239,20000,239,239,239,239,239,239,21114,223,239,223,239,15664,239,239,239,15664,239,197,15664,223,223,15664,239,239,15664,239,15664,239,239,15664,15664,15664,239,15664"
351,"Atlantic Monthly, Volume 8, Issue 45, July, 1861",Various,"1571,236,20347,20347,20430,23613,21726,21213"
352,"Atlantic Monthly, Volume 7, Issue 42, April, 1861",Various,"21969,1571,1571,1571"
353,"Buddy And Brighteyes Pigg","Howard R. Garis","21694,21694,21694,21694,21694"
354,"Atlantic Monthly, Vol. 8, No. 46, August, 1861",Various,"21150,20430,20430,20430,20430,20430,21650,20430,21149,21149,21969,21477,20430,20634"
355,"Atlantic Monthly, Vol. 10, No. 61, November, 1862",Various,"22760,22760,20430,2515,21740,22760,20410,20430,20430"
356,"Atlantic Monthly, Vol. 10, No. 62, December, 1862",Various,"21149,21149,20430"
357,"A Cotswold Village","J. Arthur Gibbs","2538,22760"
358,"Mary Wollaston","Henry Kitchell Webster","21196,15378,14249,191,21552"
359,Potterism,"Rose Macaulay",7471
360,"Rough and Tumble Engineering","James H. Maggard","21521,21388"
361,"Wild Wings","Margaret Rebecca Piper","21478,239,1405,20357,1405,14249,239,239,239,239,1405"
362,"Atlantic Monthly, Vol. 7, No. 43, May, 1861",Various,"21650,21246"
363,"Abraham Lincoln","John Drinkwater","2576,2576,20430"
364,"Atlantic Monthly, Vol. 5, No. 27, January, 1860",Various,"238,236,238,236,238,238,238,238,238,238,238,238,236,238,236,236,236,236,236,236,238,236,236,238,2868,238,238,2868,238,238,236,238,238,238,238,236,236,238,21651,22177,20321"
365,"Four Great Americans: Washington, Franklin, Webster, Lincoln","James Baldwin","20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,21993,20321,20321,20321,21754,20430,20430,20430,20430"
366,"Punchinello, Vol. 1, No. 1, Saturday, April 2, 1870",Various,239
367,"Seeing Europe with Famous Authors, Volume VI",Various,20078
368,"The World's Greatest Books, Vol VI.",Various,"16720,22967,22967,22967,22967,7324,2576"
369,"Atlantic Monthly, Vol. 4, No. 21, July, 1859",Various,"21919,21919,21149,21149,21149,21149,21149,21149,21149"
370,Bambi,"Marjorie Benton Cooke","21921,21921,22975"
371,"Christianity and Islam","C.H. Becker",15135
372,Violists,"Richard McGowan",239
373,"The World War and What was Behind It","Louis P. Benezet","22177,21921,21921,239,21150"
374,"A Compilation of the Messages and Papers of the Presidents","James D. Richardson","20000,152,152,152,21363,19989,21519,1405"
375,"Narrative of a Survey of the Intertropical and Western Coasts of Australia","Phillip Parker King","428,20645,20150,20645,20645,20150,20150,428,428,428,428,428"
376,"A Minstrel In France","Harry Lauder","239,239,239,20078,20078,239"
377,"Modern India","William Eleroy Curtis","20430,22808,20430,21312"
378,"The Garies and Their Friends","Frank J. Webb","20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430"
379,"The Happy Venture","Edith Ballinger Price",22455
380,"The Visioning","Susan  Glaspell","236,239"
381,"The Bent Twig","Dorothy Canfield","19989,21552"
382,"Big Timber","Bertrand W. Sinclair","19986,19986,22455,19986,2489"
383,"Building a State in Apache Land","Charles D. Poston","1601,1601,1601,1601,15516,15516,239,239,239,239,15516,1601,4045,4045,4045,4045,4045,239,1601,2870,15648,1601,22746,22746,1160,1169,2870,22746,22746,1601,1169,1160,1601,1169,15664,1169,1169,1169,20357,20357,239,239,1169,239,239,1169,239,1169,239,239,1601,22720,1601,20357,239,22746,239,239,1169,239,22455,1601,239,1405,22455,22222,22648,239"
384,"Ten Boys from Dickens","Kate Dickinson Sweetser",2576
