id,title,author
506,"The Lure of San Francisco","Elizabeth Gray Potter and Mabel Thayer Gray"
507,"Reminiscences of a Pioneer","Colonel William Thompson"
508,"Fascinating San Francisco","Fred Brandt and Andrew Y. Wood"
509,"O. Henry Memorial Award Prize Stories of 1921",Various
510,"Balcony Stories","Grace E. King"
511,"Out of Doors--California and Oregon","J. A. Graves"
512,"The Obstacle Race","Ethel M. Dell"
513,"Deadly Pollen","Stephen Oliver"
514,"Behind the News: Voices from Goa's Press",Various
515,"Atlantic Monthly, Vol. 8, No. 50, December, 1861",Various
516,"Atlantic Monthly, Vol. 3, No. 18, April, 1859",Various
517,"Summer on the Lakes, in 1843","S.M. Fuller"
518,"The World's Greatest Books, Vol VII",Various
519,"The Life of Marie de Medicis, Vol. 1 (of 3)","Julia Pardoe"
520,"A Kentucky Cardinal","James Lane Allen"
521,"The Lions of the Lord","Harry Leon Wilson"
522,"Views a-foot","J. Bayard Taylor"
523,"The Mirror of Literature, Amusement, and Instruction.",Various
524,"The Mirror of Literature, Amusement, and Instruction",Various
525,"Slave Narratives: A Folk History of Slavery in the United States","Work Projects Administration"
526,"Travels in the United States of America","William Priest"
527,"The Autobiography of a Journalist, Volume I","Stillman, William James"
528,"Blackfoot Lodge Tales","George Bird Grinnell"
529,"McClure's Magazine December, 1895","Edited by Ida M. Tarbell"
530,"The Life and Letters of Elizabeth Prentiss","George L. Prentiss"
531,"Squash Tennis","Richard C. Squires"
532,"The Mirror of Literature, Amusement, and Instruction",Various
533,"Slave Narratives: A Folk History of Slavery in the United States","Work Projects Administration"
534,"The Wonders of Prayer",Various
535,"On Compromise","John Morley"
536,"Renaissance in Italy Vol. 3","John Addington Symonds"
537,Babbitt,"Sinclair Lewis"
538,"People of the Whirlpool","Mabel Osgood Wright"
539,"Friends, though divided","G. A. Henty"
540,"Damaged Goods","Upton Sinclair"
541,"Punch, or The London Charivari, Vol. 153, November 7, 1917",Various
542,"Mr. Punch's History of the Great War",Punch
543,"The Man From Brodney's","George Barr McCutcheon"
544,"Master Skylark","John Bennett"
545,"Notes & Queries 1849.11.17",Various
546,"Scott's Last Expedition Volume I","Captain R. F. Scott"
547,"The Young Emigrants; Madelaine Tube; The Boy and the Book; and","Susan Anne Livingston Ridley Sedgwick"
548,"The School Book of Forestry","Charles Lathrop Pack"
549,Fire-Tongue,"Sax Rohmer"
550,"The Purchase Price","Emerson Hough"
551,"The Autobiography of a Journalist, Volume II","William James Stillman"
552,"The Pearl Box","A Pastor"
553,"The Life of Marie de Medicis, Vol. 2 (of 3)","Julia Pardoe"
554,"The Life of Marie de Medicis, Vol. 3 (of 3)","Julia Pardoe"
555,"The House of Cobwebs and Other Stories","George Gissing"
556,"Atlantic Monthly Vol. 6, No. 33, July, 1860",Various
557,"Atlantic Monthly Vol. 3, No. 16, February, 1859",Various
558,"The Golden Canyon","G. A. Henty"
559,"Jerry of the Islands","Jack London"
560,"Madam Crowl's Ghost and The Dead Sexton","Joseph Sheridan LeFanu"
561,"The Mirror of Literature, Amusement, and Instruction",Various
562,"The Second Generation","David Graham Phillips"
563,"Punch, or the London Charivari, Vol. 156, Apr 2, 1919",Various
564,"From Chaucer to Tennyson","Henry A. Beers"
565,"Punch, or the London Charivari, Vol. 153, Nov 21, 1917",Various
566,"The Jacket (The Star-Rover)","Jack London"
567,"My Brilliant Career","Miles Franklin"
568,"The Dramatic Works of John Dryden Vol. I.","Sir Walter Scott"
569,"The Wrong Twin","Harry Leon Wilson"
570,"Dawn of All","Robert Hugh Benson"
571,"The World's Great Sermons, Vol. 2 (of 10)",Unknown
572,"Gossip in a Library","Edmund Gosse"
573,Adventure,"Jack London"
574,"Woman: Man's Equal","Thomas Webster"
575,"Human Nature In Politics","Graham Wallas"
576,"Figures of Earth","James Branch Cabell"
577,"The Iron Heel","Jack London"
578,"Over There","Arnold Bennett"
579,"What to See in England","Gordon Home"
580,"John Caldigate","Anthony Trollope"
581,"Scientific American Supplement, No. 799, April 25, 1891",Various
582,"Fate Knocks at the Door","Will Levington Comfort"
583,"The Great Shadow and Other Napoleonic Tales","Arthur Conan Doyle"
584,"A Williams Anthology","Compiled by Edwin Partridge Lehman and Julian Park"
585,"The World's Greatest Books, Vol VIII","Arthur Mee and J.A. Hammerton, Eds."
586,"(In Springfield, Illinois)",Unknown
587,"Ethel Morton's Enterprise","Mabell S.C. Smith"
588,"Scientific American Supplement, No. 598, June 18, 1887",Various
589,"Collections and Recollections","George William Erskine Russell"
590,"Punch, or the London Charivari, Vol. 156, June 11, 1919",Various
591,"The Rudder Grangers Abroad and Other Stories","Frank R. Stockton"
592,"A Short History of Women's Rights","Eugene A. Hecker"
593,"The Torrent","Vicente Blasco Ibanez"
594,"Vanishing Roads and Other Essays","Richard Le Gallienne"
595,"The Balkan Wars: 1912-1913","Jacob Gould Schurman"
596,"The Pool in the Desert","Sara Jeanette Duncan"
597,"Marco Paul's Voyages and Travels; Vermont","Jacob Abbott"
598,"The Soul of the War","Philip Gibbs"
599,"Where the Trail Divides","Will Lillibridge"
600,"Atlantic Monthly, Volume 3, Issue 17, March, 1859",Various
601,"Are Women People?","Alice Duer Miller"
602,"Calvert of Strathore","Carter Goodloe"
603,"Driftwood Spars","Percival Christopher Wren"
604,"The Food of the Gods and How It Came to Earth","H.G. Wells"
605,"Mare Nostrum (Our Sea)","Vicente Blasco Ibanez"
606,"The Three Brontes","May Sinclair"
607,"The Makers and Teachers of Judaism","Charles Foster Kent"
608,"Washington and His Colleagues","Henry Jones Ford"
609,"The Mirror of Literature, Amusement, and Instruction, Vol. 20,",Various
610,"Abraham Lincoln, A History, Volume 2","John George Nicolay and John Hay"
611,"Slave Narratives: Arkansas Narratives","Work Projects Administration"
612,"When hearts are trumps","Thomas Winthrop Hall"
613,"Punch, or the London Charivari, Vol. 156, June 25, 1919",Various
614,"The world's great sermons, Volume 3","Grenville Kleiser"
615,"The Eyes of the World","Harold Bell Wright"
616,"The Balkans","Nevill Forbes, Arnold J. Toynbee, D. Mitrany, D.G. Hogarth"
617,"Kincaid's Battery","George W. Cable"
618,"O. Henry Memorial Award Prize Stories of 1920",Various
619,"First Lessons In Geography","James Monteith"
620,"Among the Trees at Elmridge","Ella Rodman Church"
621,"A Ramble of Six Thousand Miles through the United States of America","S. A. Ferrall"
622,"Atlantic Monthly, Volume 3, No. 19, May, 1859",Various
623,"Abraham Lincoln","George Haven Putnam"
624,"Life of Johnson, Volume 6 (of 6)","James Boswell"
625,"With the Allies","Richard Harding Davis"
626,"Virginia: The Old Dominion","Frank W. Hutchins and Cortelle Hutchins"
627,"Punch, or the London Charivari, Vol. 156, April 16, 1919",Various
628,"Scientific American Supplement, No. 460, October 25, 1884",Various
629,"Scientific American Supplement, No. 481, March 21, 1885",Various
630,"Scientific American Supplement, No. 586, March 26, 1887",Various
631,"Blackwood's Edinburgh Magazine - April 1843",Various
632,"Through the Brazilian Wilderness","Theodore Roosevelt"
633,"Atlantic Monthly, Volume 3, No. 20, June, 1859",Various
634,Chivalry,"James Branch Cabell"
635,"Forty Years in South China","Rev. John Gerardus Fagg"
636,"Baldy of Nome","Esther Birdsall Darling"
637,"The World's Great Sermons, Volume 10 (of 10)",Various
638,"Scientific American Supplement, No. 514, November 7, 1885",Various
639,"The American Missionary",Various
640,"The American Missionary",Various
641,"The American Missionary",Various
642,"Between You and Me","Sir Harry Lauder"
643,"Narrative of a Voyage to Senegal in 1816","J. B. Henry Savigny and Alexander Correard"
644,"Big Dummy's Guide to the Internet","Electronic Frontier Foundation"
645,Dope,"Sax Rohmer"
646,"The Return of Dr. Fu-Manchu","Sax Rohmer"
647,"George Washington: Farmer","Paul Leland Haworth"
648,"Radio Boys Cronies","Wayne Whipple and S. F. Aaron"
649,"The Mirror of Literature, Amusement, and Instruction, Vol. 20,",Various
650,"The Mirror of Literature, Amusement, and Instruction, Vol. 20,",Various
651,"The Alaskan","James Oliver Curwood"
652,"War of the Classes","Jack London"
653,"The Country of the Blind, And Other Stories","H. G. Wells"
654,"The Mirror of Literature, Amusement, and Instruction, Vol. 19,",Various
655,"Punch, or the London Charivari, Vol. 156, April 23, 1919",Various
656,"A Holiday in the Happy Valley with Pen and Pencil","T. R. Swinburne"
657,"Hodge and His Masters","Richard Jefferies"
658,"The Blood Red Dawn","Charles Caldwell Dobie"
659,"Three Plays","Padraic Colum"
660,"The Lair of the White Worm","Bram Stoker"
661,"Ronicky Doone","Max Brand"
662,"The Shadow of the North","Joseph A. Altsheler"
663,"Colonel Quaritch, V.C.","H. Rider Haggard"
664,"Comrades of the Saddle","Frank V. Webster"
665,"Citizen Bird","Mabel Osgood Wright and Elliott Coues"
666,"Seeing Europe with Famous Authors, Volume 4 (of 10)",Various
667,"A Tramp Abroad, Complete","Mark Twain (Samuel Clemens)"
668,"Elizabeth Visits America","Elinor Glyn"
669,"Ailsa Paige","Robert W. Chambers"
670,"Punch, or the London Charivari, Vol. 153, Aug 8, 1917",Various
671,"The Silent Isle","Arthur Christopher Benson"
672,"The Brown Study","Grace S. Richmond"
673,"Mr. Meeson's Will","H. Rider Haggard"
674,"The Story Of Ireland","Emily Lawless"
675,"Slave Narratives: A Folk History of Slavery in the United States","Work Projects Administration"
676,"The Illustrated London Reading Book",Various
677,"Minnesota; Its Character and Climate","Ledyard Bill"
678,"The Loves of Krishna in Indian Painting and Poetry","W. G. Archer"
679,"Washington in Domestic Life","Richard Rush"
680,"The Mystery of Monastery Farm","H. R. Naylor"
681,"The Mirror of Literature, Amusement, and Instruction, No. 576",Various
682,"Primitive Love and Love-Stories","Henry Theophilus Finck"
683,"The Symbolism of Freemasonry","Albert G. Mackey"
684,"The Adventures of Louis de Rougemont","Louis de Rougemont"
685,"The Winning of the West, Volume One","Theodore Roosevelt"
686,"The Winning of the West, Volume Two","Theodore Roosevelt"
687,"The Winning of the West, Volume Three","Theodore Roosevelt"
688,"The Winning of the West, Volume Four","Theodore Roosevelt"
689,"Essays of Schopenhauer","Arthur Schopenhauer"
690,"On the Edge of the War Zone","Mildred Aldrich"
691,"The Principal Navigations, Voyages, Traffiques,","Richard Hakluyt"
692,"Master Tales of Mystery, Volume 3","Collected and Arranged by Francis J. Reynolds"
693,"A Popular History of France From The Earliest Times","Francois Pierre Guillaume Guizot"
694,"A Popular History of France From The Earliest Times","Francois Pierre Guillaume Guizot"
695,"A Popular History of France From The Earliest Times","Francois Pierre Guillaume Guizot"
696,"A Popular History of France From The Earliest Times","Francois Pierre Guillaume Guizot"
697,"A Popular History of France From The Earliest Times","Francois Pierre Guillaume Guizot"
698,"A Popular History of France From The Earliest Times","Francois Pierre Guillaume Guizot"
699,"The Wing-and-Wing","J. Fenimore Cooper"
700,"The Desire of the Moth; and The Come On","Eugene Manlove Rhodes"
701,"The Lords of the Wild","Joseph A. Altsheler"
702,"A Mind That Found Itself","Clifford Whittingham Beers"
703,"Punch, or the London Charivari, Vol. 156, June 4, 1919.",Various
704,"Taras Bulba and Other Tales","Nikolai Vasilievich Gogol"
705,"Dialstone Lane, Part 5.","W.W. Jacobs"
706,"Project Gutenberg, Dialstone Lane, by W.W. Jacobs","W.W. Jacobs"
707,"The United Empire Loyalists","W. Stewart Wallace"
708,"Brave Tom","Edward S. Ellis"
709,"Robbery Under Arms","Thomas Alexander Browne, AKA Rolf Boldrewood"
710,"The World's Great Sermons, Volume I",Various
711,"Eighty Years And More; Reminiscences 1815-1897","Elizabeth Cady Stanton"
712,"A Pluralistic Universe","William James"
713,"The Book of American Negro Poetry","Edited by James Weldon Johnson"
714,"By Advice of Counsel","Arthur Train"
715,"A Residence in France During the Years 1792, 1793, 1794 and 1795,","An English Lady"
716,"A Residence in France During the Years 1792, 1793, 1794 and 1795,","An English Lady"
717,"Gargantua and Pantagruel, Complete.","Francois Rabelais"
718,"A Walk from London to John O'Groat's","Elihu Burritt"
719,"The Fourth Dimensional Reaches of the Panama-Pacific International Exposition","Cora Lenore Williams"
720,"My Year of the War","Frederick Palmer"
721,"The Lives of the Poets of Great Britain and Ireland (1753)","Theophilus Cibber"
722,"Love Under Fire","Randall Parrish"
723,"Notes and Queries 1850.02.23",Various
724,"A Woman of the World","Ella Wheeler Wilcox"
725,"A start in life","C. F. Dowsett"
726,"Atlantic Monthly, Vol. XI., April, 1863, No. LXVI.",Various
727,"Bred in the Bone","James Payn"
728,"The Uttermost Farthing","R. Austin Freeman"
729,"George Washington's Rules of Civility","Moncure D. Conway"
730,"Representative Plays by American Dramatists: 1856-1911:","Montrose J. Moses"
731,"Cabin Fever","B. M. Bower"
732,"The Shadow of the Cathedral","Vicente Blasco Ibanez"
733,"The Grimke Sisters","Catherine H. Birney"
734,"Women in the fine arts, from the Seventh Century B.C. to the Twentieth Century A.D.","Clara Erskine Clement"
735,"Narrative of a Survey of the Intertropical and Western Coasts of Australia] [Volume 2 of 2]","Phillip Parker King"
736,"Legends of the Madonna","Mrs. Jameson"
737,"Legal Status Of Women In Iowa","Jennie Lansley Wilson"
738,"The Works of Samuel Johnson in Nine Volumes","Samuel Johnson"
739,"Dick Sand","Jules Verne"
740,"Half a Century","Jane Grey Cannon Swisshelm"
741,"Slave Narratives: A Folk History of Slavery in the United States From Interviews with Former Slaves","Work Projects Administration"
742,"The World's Greatest Books, Vol IX.","Edited by Arthur Mee and J.A. Hammerton"
743,"Flying U Ranch","B. M. Bower"
744,"Lighted to Lighten: The Hope of India","Alice B. Van Doren"
745,"Atlantic Monthly, Vol. 9, No. 52, February, 1862",Various
746,"Camp-Fire and Cotton-Field","Thomas W. Knox"
747,"Joe Tilden's Recipes for Epicures","Joe Tilden"
748,"Letters of Horace Walpole","Horace Walpole"
749,"The Philippines: Past and Present (Volume 1 of 2)","Dean Conant Worcester"
750,"Ireland, Historic and Picturesque","Charles Johnston"
751,"Punch, or the London Charivari, Vol. 156, May 7, 1919.",Various
752,"South Sea Tales","Jack London"
753,"Lives of Girls Who Became Famous","Sarah Knowles Bolton"
754,"Revelations of a Wife","Adele Garrison"
755,"Annie Besant","Annie Besant"
756,"The American Missionary, Vol. XLII. April, 1888. No. 4.",Various
757,Composition-Rhetoric,"Stratton D. Brooks"
758,"Letters of Travel (1892-1913)","Rudyard Kipling"
759,"History of the Conquest of Peru","William Hickling Prescott"
760,"O Henry Memorial Award Prize Stories of 1919",Various
761,"More Bywords","Charlotte M. Yonge"
762,"Atlantic Monthly, Vol. 9, No. 54, April, 1862",Various
763,"Memories of Jane Cunningham Croly, 'Jenny June'",Various
764,"Between The Dark And The Daylight","William Dean Howells"
765,"A Social History of the American Negro","Benjamin Brawley"
766,"Darrel of the Blessed Isles","Irving Bacheller"
767,"Ethelyn's Mistake","Mary Jane Holmes"
768,"Old Gorgon Graham","George Horace Lorimer"
769,"Atlantic Monthly, Vol. 9, No. 55, May, 1862",Various
770,"The Glories of Ireland","Edited by Joseph Dunn and P.J. Lennox"
771,"Discoveries in Australia, Volume 1.","J Lort Stokes"
772,"American Missionary, Vol. XLII., May, 1888., No. 5",Various
773,"American Missionary, Vol. XLII., June, 1888., No. 6",Various
774,"Government and Administration of the United States","Westel W. Willoughby and William F. Willoughby"
775,"The History Of University Education In Maryland","Bernard Christian Steiner"
776,"The Gringos","B. M. Bower"
777,"The Poetical Works of William Wordsworth, Vol. II.","William Wordsworth"
778,"Discoveries in Australia, Volume 2","John Lort Stokes"
779,"The Elixir of Life","Honore de Balzac"
780,"Penelope's Experiences in Scotland","Kate Douglas Wiggin"
781,"The Wolf Hunters","James Oliver Curwood"
782,"Women Workers in Seven Professions","Edith J. Morley"
783,"The Two Lovers of Heaven: Chrysanthus and Daria","Pedro Calderon de la Barca"
784,"The Nest of the Sparrowhawk","Baroness Orczy"
785,"The Precipice","Elia Wilkinson Peattie"
786,"Vandemark's Folly","Herbert Quick"
787,"The Adventures of Jimmie Dale","Frank L. Packard"
788,Wau-bun,"Juliette Augusta Magill Kinzie"
789,"Abroad with the Jimmies","Lilian Bell"
790,"My Home In The Field of Honor","Frances Wilson Huard"
791,"The Principles of Masonic Law","Albert G. Mackey"
